            Well Data Export    
Project             :  NORNE
Cartographic System :  ST_ED50_UTM32N_CM9NE
Depth Mode          :  MD
Depth Unit          :  International meters
Distance Unit       :  meters
Format File         :  /prog/ow/2003_12/dat/wlx/owxPosLog.wlx
Date                :  Thu Dec 27 14:54:32 2007


PLG1  UWI: NO 6608/10-E-4 H          
PLG2  Common: 6608/10-E-4 H                                                                   
PLG3  Measr. Depth    TVD Depth  TVDSS Depth     X-Offset     Y-Offset
PLG4        0.0000       0.0000      22.0000       0.0000       0.0000
PLG4      402.0000     401.9973    -379.9973       1.1406      -0.5423
PLG4      409.6000     409.5972    -387.5972       1.1798      -0.5654
PLG4      419.5900     419.5871    -397.5871       1.2164      -0.5949
PLG4      429.6100     429.6069    -407.6069       1.2500      -0.6256
PLG4      439.6000     439.5968    -417.5968       1.2911      -0.6592
PLG4      449.6000     449.5966    -427.5966       1.3354      -0.6886
PLG4      459.6500     459.6465    -437.6465       1.3809      -0.7166
PLG4      469.6200     469.6163    -447.6163       1.4210      -0.7507
PLG4      479.6500     479.6462    -457.6462       1.4615      -0.7863
PLG4      489.5900     489.5860    -467.5860       1.5108      -0.8150
PLG4      499.6200     499.6158    -477.6158       1.5698      -0.8391
PLG4      509.6800     509.6755    -487.6755       1.6400      -0.8584
PLG4      519.6600     519.6552    -497.6552       1.7217      -0.8762
PLG4      529.6600     529.6545    -507.6545       1.8296      -0.8906
PLG4      539.6600     539.6536    -517.6536       1.9707      -0.8979
PLG4      549.5900     549.5821    -527.5821       2.1449      -0.8987
PLG4      559.6000     559.5894    -537.5894       2.3748      -0.8842
PLG4      569.6500     569.6351    -547.6351       2.6674      -0.8436
PLG4      579.6900     579.6685    -557.6685       3.0237      -0.7814
PLG4      589.6600     589.6286    -567.6286       3.4575      -0.6933
PLG4      599.6200     599.5737    -577.5737       3.9859      -0.5618
PLG4      609.6700     609.6014    -587.6014       4.6279      -0.3779
PLG4      619.6200     619.5222    -597.5222       5.3556      -0.1564
PLG4      629.6000     629.4668    -607.4668       6.1594       0.0858
PLG4      639.5900     639.4125    -617.4125       7.0618       0.3461
PLG4      649.6700     649.4373    -627.4373       8.0770       0.6249
PLG4      659.6800     659.3818    -637.3818       9.1796       0.9248
PLG4      669.5900     669.2141    -647.2141      10.3770       1.2414
PLG4      679.6000     679.1303    -657.1303      11.7015       1.5767
PLG4      689.6600     689.0763    -667.0763      13.1653       1.9454
PLG4      699.6000     698.8793    -676.8793      14.7562       2.3597
PLG4      709.6600     708.7746    -686.7746      16.5038       2.8405
PLG4      719.6900     718.6109    -696.6109      18.3901       3.3766
PLG4      729.6100     728.3082    -706.3082      20.3957       3.9627
PLG4      739.6200     738.0596    -716.0596      22.5624       4.6062
PLG4      749.6300     747.7702    -725.7702      24.8938       5.2886
PLG4      759.6700     757.4669    -735.4669      27.3993       5.9933
PLG4      769.6000     767.0228    -745.0228      30.0051       6.6987
PLG4      779.6500     776.6719    -754.6719      32.7223       7.4170
PLG4      789.6800     786.2836    -764.2836      35.4948       8.1444
PLG4      799.6100     795.7850    -773.7850      38.2839       8.8853
PLG4      809.6400     805.3737    -783.3737      41.1215       9.6637
PLG4      819.6500     814.9378    -792.9378      43.9632      10.4713
PLG4      829.6800     824.5127    -802.5127      46.8303      11.3085
PLG4      839.6200     833.9916    -811.9916      49.6977      12.1639
PLG4      849.6700     843.5583    -821.5583      52.6457      13.0520
PLG4      859.6000     852.9912    -830.9912      55.6150      13.9507
PLG4      869.6500     862.5149    -840.5149      58.6870      14.8808
PLG4      879.5900     871.9057    -849.9057      61.8091      15.8129
PLG4      889.6200     881.3553    -859.3553      65.0356      16.7579
PLG4      899.6400     890.7651    -868.7651      68.3444      17.7115
PLG4      909.6900     900.1684    -878.1684      71.7561      18.6807
PLG4      919.6100     909.4164    -887.4164      75.2116      19.6500
PLG4      929.6600     918.7479    -896.7479      78.8082      20.6439
PLG4      939.5900     927.9327    -905.9327      82.4502      21.6347
PLG4      949.6200     937.1762    -915.1762      86.2105      22.6433
PLG4      959.6200     946.3534    -924.3534      90.0523      23.6531
PLG4      969.6600     955.5196    -933.5196      94.0189      24.6759
PLG4      979.6400     964.5785    -942.5785      98.0771      25.7095
PLG4      989.6000     973.5535    -951.5535     102.2688      26.7476
PLG4      999.6700     982.5341    -960.5341     106.6984      27.8096
PLG4     1009.6200     991.3111    -969.3111     111.2597      28.8856
PLG4     1019.6200    1000.0610    -978.0610     115.9749      29.9828
PLG4     1029.6100    1008.7589    -986.7589     120.7627      31.0890
PLG4     1039.6200    1017.4326    -995.4326     125.6326      32.2074
PLG4     1049.6300    1026.0636   -1004.0636     130.5753      33.3363
PLG4     1059.6200    1034.6482   -1012.6482     135.5545      34.4817
PLG4     1069.6300    1043.2153   -1021.2153     140.6008      35.6388
PLG4     1079.6400    1051.7112   -1029.7112     145.7648      36.8015
PLG4     1089.6500    1060.0933   -1038.0933     151.1079      37.9799
PLG4     1099.6500    1068.3134   -1046.3134     156.6746      39.1770
PLG4     1109.6600    1076.3748   -1054.3748     162.4844      40.3828
PLG4     1119.6100    1084.2382   -1062.2382     168.4638      41.5702
PLG4     1129.6100    1092.0194   -1070.0194     174.6332      42.7480
PLG4     1139.6500    1099.7520   -1077.7520     180.9272      43.9287
PLG4     1149.6600    1107.3873   -1085.3873     187.2859      45.1395
PLG4     1159.6000    1114.8588   -1092.8588     193.7186      46.4036
PLG4     1169.6000    1122.2379   -1100.2379     200.3305      47.7551
PLG4     1179.6500    1129.5140   -1107.5140     207.1076      49.2146
PLG4     1189.6000    1136.5797   -1114.5797     213.9382      50.7694
PLG4     1199.6400    1143.5565   -1121.5565     220.9577      52.4571
PLG4     1209.6801    1150.3690   -1128.3690     228.1088      54.2597
PLG4     1219.6500    1156.9928   -1134.9928     235.3248      56.1179
PLG4     1229.6400    1163.5105   -1141.5105     242.6633      57.9787
PLG4     1239.6200    1169.8826   -1147.8826     250.1246      59.8013
PLG4     1249.6000    1176.0698   -1154.0698     257.7488      61.5850
PLG4     1259.6400    1182.0599   -1160.0599     265.6098      63.3504
PLG4     1269.5900    1187.7253   -1165.7253     273.5992      65.1009
PLG4     1279.6400    1193.1768   -1171.1768     281.8551      66.8668
PLG4     1289.6200    1198.3741   -1176.3741     290.1953      68.6060
PLG4     1299.6400    1203.4612   -1181.4612     298.6523      70.3381
PLG4     1309.6400    1208.4823   -1186.4823     307.1284      72.0541
PLG4     1319.5900    1213.4369   -1191.4369     315.5866      73.7604
PLG4     1329.6100    1218.3665   -1196.3665     324.1385      75.4824
PLG4     1339.6100    1223.2268   -1201.2268     332.7049      77.2128
PLG4     1349.6100    1228.0052   -1206.0052     341.3105      78.9754
PLG4     1359.6100    1232.6637   -1210.6637     349.9688      80.8009
PLG4     1369.6300    1237.1760   -1215.1760     358.7093      82.7084
PLG4     1379.6400    1241.5083   -1219.5083     367.5132      84.6886
PLG4     1389.6200    1245.6777   -1223.6777     376.3512      86.7144
PLG4     1399.6100    1249.7003   -1227.7003     385.2592      88.7792
PLG4     1409.6000    1253.5587   -1231.5587     394.2337      90.8693
PLG4     1419.6200    1257.2960   -1235.2960     403.3006      92.9241
PLG4     1429.6000    1260.9277   -1238.9277     412.3902      94.8702
PLG4     1439.6100    1264.4783   -1242.4783     421.5638      96.7239
PLG4     1449.6400    1267.8643   -1245.8643     430.8344      98.5090
PLG4     1459.6200    1270.9937   -1248.9937     440.1549     100.2203
PLG4     1469.6200    1273.9006   -1251.9006     449.5827     101.8520
PLG4     1479.5900    1276.6295   -1254.6295     459.0489     103.3825
PLG4     1489.5900    1279.3019   -1257.3019     468.5755     104.8318
PLG4     1499.6200    1282.0043   -1260.0043     478.1336     106.2253
PLG4     1509.6300    1284.7693   -1262.7693     487.6599     107.5684
PLG4     1519.6000    1287.5942   -1265.5942     497.1328     108.8660
PLG4     1529.6300    1290.4966   -1268.4966     506.6501     110.1300
PLG4     1539.6400    1293.4758   -1271.4758     516.1312     111.3270
